id,event_timestamp,device_type,session_id,visitor_id,item_id,redirection_source
29839,11/15/2020 15:11,android,B000078,I7099,B17543,GOOGLE
30504,11/15/2020 15:27,android,B000078,I7099,B19304,LinkedIn
30334,11/15/2020 15:23,android,B000078,I7099,B29093,Youtube
30385,11/15/2020 15:24,android,B000078,I7099,D8142,google
30503,11/15/2020 15:27,android,B000078,I7099,D8142,FACEBOOK
30663,11/15/2020 15:30,android,B000078,I7099,D8142,YOUTUBE
30702,11/15/2020 15:30,android,B000078,I7099,D8142,LinkedIn
30284,11/15/2020 15:21,android,B000078,I7099,E9001,linkedin
30325,11/15/2020 15:22,android,B000078,I7099,E9001,youtube
30240,11/15/2020 15:20,android,B000078,I7099,J1317,google
13931,11/15/2020 9:07,android,B000092,C2146,H6156,facebook
42214,11/15/2020 19:35,android,B000138,E2296,B04035,Google
42316,11/15/2020 19:36,android,B000138,E2296,B04035,Youtube
42990,11/15/2020 19:46,android,B000138,E2296,B04035,youtube
43005,11/15/2020 19:46,android,B000138,E2296,B04035,google
43273,11/15/2020 19:51,android,B000138,E2296,B04035,youtube
43185,11/15/2020 19:49,android,B000138,E2296,B907,Youtube
23344,11/15/2020 12:21,android,B000227,B4178,I4026,youtube
27947,11/15/2020 14:25,android,B000271,I9120,E9856,Youtube
41726,11/15/2020 19:27,android,B000283,F079,B04035,facebook
41723,11/15/2020 19:27,android,B000283,F079,B13763,google
35508,11/15/2020 17:18,android,B0003,H7774,I3311,FACEBOOK
34986,11/15/2020 17:07,android,B0003,H7774,I860,LinkedIn
29817,11/15/2020 15:11,android,B000430,G0191,B1986,Google
29890,11/15/2020 15:12,android,B000430,G0191,B21210,Google
29770,11/15/2020 15:10,android,B000430,G0191,B7412,youtube
29931,11/15/2020 15:13,android,B000430,G0191,B7412,Google
29994,11/15/2020 15:14,android,B000430,G0191,J6911,google
24479,11/15/2020 12:54,android,B000450,F1681,E2809,FACEBOOK
33203,11/15/2020 16:24,android,B000467,G0923,E7455,facebook
45030,11/15/2020 20:25,android,B000469,H6810,B18262,google
23786,11/15/2020 12:33,android,B000516,I2161,B03502,youtube
34174,11/15/2020 16:47,android,B000669,F8535,B76,facebook
35013,11/15/2020 17:07,android,B000669,F8535,F2518,facebook
34852,11/15/2020 17:03,android,B000669,F8535,H7113,google
47303,11/15/2020 20:59,android,B000685,E0679,C121,facebook
39932,11/15/2020 18:53,android,B000752,I2829,H1406,youtube
39835,11/15/2020 18:51,android,B000752,I2829,I9921,google
15970,11/15/2020 9:47,android,B000796,G5319,B02637,linkedin
20282,11/15/2020 11:10,android,B000844,J862,C1137,YOUTUBE
28446,11/15/2020 14:39,android,B000847,F5021,B17580,google
28428,11/15/2020 14:39,android,B000847,F5021,G0796,Google
28437,11/15/2020 14:39,android,B000847,F5021,G0796,youtube
28427,11/15/2020 14:39,android,B000847,F5021,G4835,linkedin
28431,11/15/2020 14:39,android,B000847,F5021,G4835,YOUTUBE
29139,11/15/2020 14:55,android,B000847,F5021,H6404,LinkedIn
29223,11/15/2020 14:56,android,B00099,B7690,B20608,youtube
29224,11/15/2020 14:57,android,B00099,B7690,C9420,Youtube
41401,11/15/2020 19:22,android,B001010,D2469,B13763,YOUTUBE
2756,11/15/2020 0:43,android,B001058,H4260,I3050,Youtube
3077,11/15/2020 0:51,android,B001058,H4260,I3050,Google
13642,11/15/2020 9:02,android,B001061,H6011,C1931,FACEBOOK
39586,11/15/2020 18:45,android,B001115,D4900,C8621,Google
29518,11/15/2020 15:04,android,B001152,I8949,I705,YOUTUBE
38072,11/15/2020 18:14,android,B001220,C3343,B06866,youtube
37191,11/15/2020 17:59,android,B001265,I3863,B04035,linkedin
41742,11/15/2020 19:28,android,B001338,F22,B18262,LinkedIn
41728,11/15/2020 19:28,android,B001338,F22,B3552,Youtube
41985,11/15/2020 19:32,android,B001338,F22,B3552,FACEBOOK
40920,11/15/2020 19:13,android,B001338,F22,B9282,FACEBOOK
40583,11/15/2020 19:07,android,B001338,F22,H7658,YOUTUBE
40735,11/15/2020 19:10,android,B001338,F22,H7658,GOOGLE
40837,11/15/2020 19:11,android,B001338,F22,H7658,facebook
42110,11/15/2020 19:33,android,B001338,F22,I1394,LinkedIn
21823,11/15/2020 11:45,android,B001339,F0136,D553,YOUTUBE
31551,11/15/2020 15:47,android,B001385,F5986,B0726,LinkedIn
31508,11/15/2020 15:46,android,B001385,F5986,B13644,Google
44506,11/15/2020 20:14,android,B0015,B8390,H4902,Youtube
44392,11/15/2020 20:12,android,B0015,B8390,J3947,facebook
41745,11/15/2020 19:28,android,B001597,C5492,B5047,facebook
41810,11/15/2020 19:29,android,B001597,C5492,D0694,facebook
42968,11/15/2020 19:45,android,B00160,H9120,B13763,youtube
16273,11/15/2020 9:52,android,B001658,C4080,B0379,LinkedIn
31744,11/15/2020 15:51,android,B001725,B5923,B070,youtube
17796,11/15/2020 10:19,android,B001738,C835,H6052,Youtube
17724,11/15/2020 10:17,android,B001738,C835,H9290,YOUTUBE
3778,11/15/2020 1:09,android,B001740,I3853,B3552,Youtube
10903,11/15/2020 7:55,android,B001745,G7342,C0944,linkedin
10662,11/15/2020 7:48,android,B001745,G7342,D0425,google
10732,11/15/2020 7:50,android,B001745,G7342,D0425,linkedin
10747,11/15/2020 7:51,android,B001745,G7342,D0425,linkedin
10819,11/15/2020 7:53,android,B001745,G7342,D0425,youtube
14742,11/15/2020 9:22,android,B001778,D2906,B1986,facebook
14595,11/15/2020 9:19,android,B001778,D2906,F9680,youtube
14796,11/15/2020 9:23,android,B001778,D2906,F9680,Youtube
37826,11/15/2020 18:10,android,B001922,H1333,B06866,YOUTUBE
29571,11/15/2020 15:05,android,B001990,E8037,B10126,YOUTUBE
29608,11/15/2020 15:06,android,B001990,E8037,B10126,GOOGLE
29695,11/15/2020 15:08,android,B001990,E8037,B3552,google
29502,11/15/2020 15:04,android,B001990,E8037,D3676,Google
30768,11/15/2020 15:32,android,B001990,E8037,D3676,FACEBOOK
29849,11/15/2020 15:11,android,B001990,E8037,E3165,linkedin
29582,11/15/2020 15:05,android,B001990,E8037,H6156,facebook
29634,11/15/2020 15:06,android,B001990,E8037,H6156,facebook
29670,11/15/2020 15:07,android,B001990,E8037,H6156,linkedin
29677,11/15/2020 15:07,android,B001990,E8037,H6156,youtube
29852,11/15/2020 15:11,android,B001990,E8037,I3993,google
29957,11/15/2020 15:14,android,B001990,E8037,J9526,Google
43744,11/15/2020 19:59,android,B002022,H8569,B13763,youtube
29625,11/15/2020 15:06,android,B00204,D7247,G9585,youtube
