item_id,item_price,product_type,department_name
C6880,2301,D040,Computers & Accessories
F4939,1756.5,G822,Collectibles
E0383,412.5,B619,Apps & Games
I777,1177.5,F264,Baby
B13705,633.5,B0239,Electronics
B08843,476.5,H03,Apps & Games
B29807,9059,C537,Beauty
E4250,8928,J641,Garden & Outdoors
E9862,1434,I42,Baby
H7042,2016,G23,Apps & Games
C29,1091.5,D248,Apps & Games
H7286,4276,G864,Books
D1157,976,D328,Books
B07227,2067.5,E181,Baby
E7099,2233.5,H151,Electronics
J5657,188.5,H233,Computers & Accessories
B27016,3427,E036,Collectibles
J5953,1033.5,H203,Furniture
B31809,633.5,G936,Clothing & Accessories
D1202,1776,H387,Furniture
B18202,2013,H631,Furniture
C066,537.5,B008,Beauty
B16586,864,I836,Apps & Games
B05684,2160,C33,Computers & Accessories
F6109,1725,D362,Beauty
D6828,956.5,G822,Beauty
B31351,633.5,C563,Books
G9889,1278.5,C882,Apps & Games
J4488,1568,G939,Baby
B01701,1068.5,F810,Apps & Games
D5668,3360,I817,Beauty
B28999,8611,B0269,Garden & Outdoors
B00487,1097,F622,Apps & Games
B10747,892.5,J857,Computers & Accessories
H6718,5731,J375,Books
B07757,993.5,H960,Collectibles
D7807,1293,J299,Computers & Accessories
J1519,1319,G844,Collectibles
C5636,1088.5,E297,Furniture
F636,3020.5,H203,Clothing & Accessories
J8364,1123,H121,Baby
H6721,3409.5,I305,Computers & Accessories
B07246,1062.5,G822,Books
D9762,3456,E517,Furniture
B13717,1062.5,E216,Apps & Games
G8507,1980.5,F251,Computers & Accessories
C5885,421.5,G836,Beauty
G7305,1149,H34,Clothing & Accessories
C8468,1382,F604,Collectibles
B547,5123,J641,Clothing & Accessories
E0044,1987,C494,Beauty
D8939,11520,J196,Beauty
B09074,3165,J337,Collectibles
D3600,1149,I834,Baby
D9332,165,I251,Furniture
C6722,1437,B0541,Furniture
D0298,4003,B619,Apps & Games
B14803,3139,D416,Furniture
J4166,1725,H47,Computers & Accessories
I7231,1437,D236,Computers & Accessories
J0108,2448,B147,Garden & Outdoors
B24451,2301,C528,Collectibles
E8571,1128.5,B552,Computers & Accessories
